시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,일광면 화전리,284,,,,,,주거용 > 단독주택 > 단독주택,0,41.49,41.49,0,1,,,1974,단독주택
부산광역시,기장군,일광면 화전리,285,,,,,,주거용 > 단독주택 > 단독주택,268.44,116.01,131.31,0,2,1989-11-23,1990-05-07,1990-11-26,단독주택
부산광역시,기장군,일광면 화전리,286,,,,,,주거용 > 단독주택 > 단독주택,327,97.33,97.33,0,1,,,1985-01-11,단독주택
부산광역시,기장군,일광면 화전리,287,,,,,,주거용 > 단독주택 > 단독주택,0,40.79,40.79,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 화전리,288,,,,,,주거용 > 단독주택 > 단독주택,0,99.6,99.6,0,1,1988-09-15,,1989-04-04,단독주택
부산광역시,기장군,일광면 화전리,289,,,,,,주거용 > 단독주택 > 단독주택,0,37.29,37.29,0,1,,,1965-10-05,단독주택
부산광역시,기장군,일광면 화전리,290,,,,,,주거용 > 단독주택 > 단독주택,0,49.42,49.42,0,1,,,1936-04-01,단독주택
부산광역시,기장군,일광면 화전리,293-3,,,,,,주거용 > 단독주택 > 단독주택,182,82.05,82.05,0,1,1993-08-23,1994-09-14,1994-11-10,단독주택
부산광역시,기장군,일광면 화전리,293-4,,,,,,주거용 > 단독주택 > 단독주택,395,99.12,99.12,0,1,1994-08-29,,1994-12-06,단독주택
부산광역시,기장군,일광면 화전리,299,,,,,,주거용 > 단독주택 > 단독주택,0,38.88,38.88,0,1,,,1941-04-01,단독주택
부산광역시,기장군,일광면 화전리,300,,,,,,주거용 > 단독주택 > 단독주택,0,63.87,63.87,0,1,,,1936-04-01,단독주택
